"_offset","candidate_id","primary_skill_id","staffing_status","english_level","job_function_id","_created_micros","_updated_micros"
"40388","9899224935342552024716433376333229261793484","4060741400007923316","UnderConsideration","A2","1013","1618389992709000","1715935620828000"
"40389","144963346144745714144352116765282749880041","4060741400007923359","Available","Unspecified","","1715926031535000","1715935700541000"
"40390","8440748074727611524926733975873813759139","4060741400007923322","Proposed","B2","1013","1513701311984000","1715935771353000"
"40391","630543340080123596034419399617441144511","4060741400335399351","Available","Unspecified","","1715935934113000","1715935934240000"
"40392","4808829116339162779428206608949386","4060741400007923322","Available","Unspecified","","1715936025504000","1715936025603000"
"40393","41316536430868699518792554134674453158165","4060741400007923322","UnderConsideration","Unspecified","1011","1694411099927000","1715936104245000"
"40394","78644818623862501640310114062315561523720","4060741400007923359","Available","Unspecified","","1715910853176000","1715936112496000"
"40395","6902184754207078010403238322782574828382","7770000000002738079","Proposed","Unspecified","4060741400376470171","1710832625931000","1715936191051000"
"40396","1133283451097194358902728162978959034","7770000000000115523","UnderConsideration","C1","1013","1711997771977000","1715936509900000"
"40397","464311479692036778618167142510725146465","4060741400007923322","Proposed","Unspecified","1013","1658492064773000","1715936512523000"
"40398","1677083970449098760214373583137607213116797","4060741400007923367","UnderConsideration","Unspecified","","1713789431718000","1715936609103000"
"40399","8214404222173647981481429298308823474033648","7770000000000129008","UnderConsideration","Unspecified","4000741400001402409","1706603890997000","1715936790194000"
"40400","205830372860653550333479411945117857561830","4060741400007923316","Available","C1","1013","1706781039119000","1715936792707000"
"40401","39871683339427802643377016345739554784131","7770000000000116864","UnderConsideration","B1","1012","1712175311289000","1715936826372000"
"40402","96990468296228389473324952411183779438","4060741400331163531","UnderConsideration","Unspecified","4060741400376470171","1715767872308000","1715936870697000"
"40403","94840824996363438270551378133074563698317","4060741400007923359","UnderConsideration","Unspecified","1013","1626176721636000","1715937102650000"
"40404","74326928183335288538967833477487507806155","4060741400007923380","Proposed","Unspecified","8050000000000001871","1703249787068000","1715937200050000"
"40405","13963610764129487653301427982527844528661178","7770000000000115524","Available","B2+","1013","1611052387607000","1715937291160000"
"40406","6609391995221032414639217675762845126","4060741400007923314","UnderConsideration","Unspecified","4060741400376470171","1641586384589000","1715937518924000"
"40407","867225021587243632492867109801113820555912","7770000000000483228","Available","Unspecified","4060741400010084399","1711994651439000","1715937691385000"
"40408","8547974658815631710155166192199633131851028","4060741400007923354","UnderConsideration","Unspecified","","1714378151475000","1715937699325000"
"40409","9914195911921130811008323862815104581","4060741400007923318","Available","Unspecified","","1715937775764000","1715937775903000"
"40410","7736109938192899874557500058237621290846762","4060741400335399351","UnderConsideration","A1","","1715925877608000","1715938025075000"
"40411","3406657060886631267886815562779073951686","4060741400378686793","Proposed","Unspecified","4000741400001402409","1715694597039000","1715938160173000"
"40412","338109464937217794251093229037774383337","7770000000000115522","UnderConsideration","Unspecified","","1684445999220000","1715938395587000"
"40413","5034827022496153396162477059122176202145083","4060741400331163531","UnderConsideration","B2","4060741400376470170","1652773158790000","1715938507324000"
"40414","7582910721668694587053569264666160247","4060741400335399351","UnderConsideration","Unspecified","4060741400010084400","1712751301303000","1715938860444000"
"40415","774389097892948204218167228856046695","4060741400408553072","UnderConsideration","Unspecified","1013","1695127999685000","1715939018139000"
"40416","48382805034724947346785541180249169399","4060741400007923318","UnderConsideration","Unspecified","","1715848771860000","1715939536351000"
"40417","8713403957970324705122937213656770075","4060741400007923322","Available","Unspecified","1011","1710883871079000","1715939556648000"
"40418","082379830517502849553473527599460240646699","7770000000000169925","UnderConsideration","Unspecified","","1712126111229000","1715940237006000"
"40419","436035525482659268863281322034906543","4060741400007923423","Available","Unspecified","","1715941662900000","1715941663043000"
"40420","43009708668778406108796731537412638598868641095","4060741400007923322","Available","B2+","1013","1568232322754000","1715941762359000"
"40421","92312214326272203863909887580115578285922","7770000000000115522","UnderConsideration","B2","1012","1609747012139000","1715942132279000"
"40422","7344608915131620215400264909242567458299","4060741400007923322","UnderConsideration","B2","1013","1542837004772000","1715942441640000"
"40423","030239874567969728224279118934588139495","4060741400007923316","UnderConsideration","Unspecified","108","1603222016038000","1715942451536000"
"40424","812380779131177124651709554832348","4060741400009046535","UnderConsideration","Unspecified","1012","1714055231211000","1715942644752000"
"40425","07176382484227451489221813881122387338518","4060741400007923318","UnderConsideration","Unspecified","","1715934785415000","1715942646485000"
"40426","83317932694201616822655499121519621283154","4060741400007923322","Available","Unspecified","","1715942753570000","1715942753674000"
"40427","38503371166293205841472693517247885171","7770000000002739663","Booked","Unspecified","4000741400001402409","1714045780069000","1715943192982000"
"40428","83292392562566245153517379000698770735657","4060741400007923322","Available","B2","4000741400001402409","1659666944394000","1715943222578000"
"40429","83292392562566245153517379000698770735657","4060741400007923322","UnderConsideration","B2","4000741400001402409","1659666944394000","1715943240968000"
"40430","812380779131177124651709554832348","4060741400009046535","Proposed","Unspecified","1012","1714055231211000","1715943556007000"
"40431","341198799099221233094604637289383991495600255","4060741400007923409","UnderConsideration","Unspecified","","1715695338110000","1715943603088000"
"40432","827082324874942652246399729074927988","4060741400007923322","UnderConsideration","Unspecified","","1664969040273000","1715943839986000"
"40433","239526214980063964444869275011852953","7770000000000115524","Available","Unspecified","","1715943849993000","1715943850162000"
"40434","319628638670310918316244675839135484","7770000000000115524","UnderConsideration","C1","4060741400007151466","1685305217804000","1715943973849000"
"40435","77803136900511427903300896795988716445721","4060741400007923318","Available","Unspecified","","1715944585632000","1715944585769000"
"40436","72457556453193328418473362847982369215880","4060741400037637413","Available","Unspecified","","1652441951079000","1715945255094000"
"40437","802969158948981055417847481984243693601992","4060741400378686797","UnderConsideration","Unspecified","","1713179111387000","1715945406885000"
"40438","013057690730517861186472811841700","4060741400412060820","UnderConsideration","Unspecified","","1713433141752000","1715945842644000"
"40439","5145682057834128340285489441897990","4060741400403479618","UnderConsideration","Unspecified","","1712085607755000","1715946075247000"
"40440","08108870214006894367355777780140450403","120","UnderConsideration","Unspecified","","1713608172267000","1715946181206000"
"40441","22166329765945068256193409921372031333847","4060741400007923344","Available","Unspecified","","1674645571284000","1715946677127000"
"40442","487900566598998718424712894486736979472012","4060741400331163529","UnderConsideration","Unspecified","","1592819177404000","1715947057948000"
